,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Goal (Value),Design Point 1,Design Point 2,Design Point 3,Design Point 4,Design Point 5,Design Point 6,Design Point 7,Design Point 8,Design Point 9,Design Point 10,Design Point 11,Design Point 12,Design Point 13,Design Point 14,Design Point 15,Design Point 16,Design Point 17,Design Point 18,Design Point 19,Design Point 20,Design Point 21,Design Point 22,Design Point 23,Design Point 24,Design Point 25,Design Point 26,Design Point 27,Design Point 28,Design Point 29,Design Point 30,Design Point 31,Design Point 32,Design Point 33,Design Point 34,Design Point 35,Design Point 36,Design Point 37,Design Point 38,Design Point 39,Design Point 40,Design Point 41,Design Point 42,Design Point 43,Design Point 44,Design Point 45,Design Point 46,Design Point 47,Design Point 48,Design Point 49,Design Point 50,Design Point 51,Design Point 52,Design Point 53,Design Point 54,Design Point 55,Design Point 56,Design Point 57,Design Point 58,Design Point 59,Design Point 60,Design Point 61,Design Point 62,Design Point 63,Design Point 64,Design Point 65,Design Point 66,Design Point 67,Design Point 68,Design Point 69,Design Point 70,Design Point 71,Design Point 72,Design Point 73,Design Point 74,Design Point 75,Design Point 76,Design Point 77,Design Point 78,Design Point 79,Design Point 80,Design Point 81,Design Point 82,Design Point 83,Design Point 84,Design Point 85,Design Point 86,Design Point 87,Design Point 88,Design Point 89,Design Point 90,Design Point 91,Design Point 92,Design Point 93,Design Point 94,Design Point 95,Design Point 96,Design Point 97,Design Point 98,Design Point 99
,Velocity in Y direction (Initial and Ambient Conditions) [m/s],-60,-55,-50,-45,-40,-35,-30,-25,-20,-60,-55,-50,-45,-40,-35,-30,-25,-20,-60,-55,-50,-45,-40,-35,-30,-25,-20,-60,-55,-50,-45,-40,-35,-30,-25,-20,-60,-55,-50,-45,-40,-35,-30,-25,-20,-60,-55,-50,-45,-40,-35,-30,-25,-20,-60,-55,-50,-45,-40,-35,-30,-25,-20,-60,-55,-50,-45,-40,-35,-30,-25,-20,-60,-55,-50,-45,-40,-35,-30,-25,-20,-60,-55,-50,-45,-40,-35,-30,-25,-20,-60,-55,-50,-45,-40,-35,-30,-25,-20
,D1@Angle1@Fin Tabs Assembly.Assembly [rad],"2,97159265","2,97159265","2,97159265","2,97159265","2,97159265","2,97159265","2,97159265","2,97159265","2,97159265","2,98859265","2,98859265","2,98859265","2,98859265","2,98859265","2,98859265","2,98859265","2,98859265","2,98859265","3,00559265","3,00559265","3,00559265","3,00559265","3,00559265","3,00559265","3,00559265","3,00559265","3,00559265","3,02259265","3,02259265","3,02259265","3,02259265","3,02259265","3,02259265","3,02259265","3,02259265","3,02259265","3,03959265","3,03959265","3,03959265","3,03959265","3,03959265","3,03959265","3,03959265","3,03959265","3,03959265","3,05659265","3,05659265","3,05659265","3,05659265","3,05659265","3,05659265","3,05659265","3,05659265","3,05659265","3,07359265","3,07359265","3,07359265","3,07359265","3,07359265","3,07359265","3,07359265","3,07359265","3,07359265","3,09059265","3,09059265","3,09059265","3,09059265","3,09059265","3,09059265","3,09059265","3,09059265","3,09059265","3,10759265","3,10759265","3,10759265","3,10759265","3,10759265","3,10759265","3,10759265","3,10759265","3,10759265","3,12459265","3,12459265","3,12459265","3,12459265","3,12459265","3,12459265","3,12459265","3,12459265","3,12459265","3,14159265","3,14159265","3,14159265","3,14159265","3,14159265","3,14159265","3,14159265","3,14159265","3,14159265"
,GG Force 1 [N],"14,4342119155642","12,1445523028757","10,0025736446285","8,10851788663907","6,42257242836391","4,91236556667473","3,61657796850362","2,52430660583564","1,61963450993246","14,4104796384295","12,1304455457847","10,0370710188757","8,12977960978812","6,42183337479891","4,92297964826753","3,61839093918884","2,5192378056037","1,62064295693828","14,3591573480611","12,0106978225975","10,0580456143604","8,10670339614515","6,43181661213526","4,91426322483895","3,60235549521294","2,52954969817146","1,62087979663351","14,4832443849867",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GG Force (X) 2 [N],"-0,0634299155440275","0,0751679910412507","-0,000178014561036674","0,120956078062743","-0,00365542452346286","0,0437754112428951","0,0129083614816666","0,0012240647932249","0,00766608485930752","0,311543995671524","0,148491279915157","0,0279892499766091","0,0160159510165765","0,0320335255926046","0,0125037121614193","0,0481157687953423","-0,00682328188177244","-0,00208832495076777","0,250329519680517","0,108673518046695","0,163717660485783","0,0648959829851034","-0,0170073911191813","0,0290755963263427","0,0577839069212853","-0,00439537078432345","0,0081462373667753","-0,0785804026015461",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GG Force (Y) 3 [N],"-14,4282952182681","-12,1342689404955","-9,99500882034073","-8,09997410158357","-6,42066855811245","-4,90738724955874","-3,61204392517321","-2,52239586126937","-1,61847932385758","-14,3860134719948","-12,1190079144388","-10,0311403035137","-8,12400361182988","-6,41461555599408","-4,92067298861976","-3,61603755784501","-2,51835980104072","-1,62001216496836","-14,3425357296003","-11,9985646615054","-10,0486703421646","-8,09928807785848","-6,43005519975868","-4,90730151891591","-3,5977277519012","-2,5283235457816","-1,61986900071343","-14,4760045703131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GG Force (Z) 4 [N],"0,408347111819146","0,493981467398654","0,388944939340914","0,351925416531488","0,156328187854944","0,216724610716813","0,180577570835662","0,0981909414458116","0,0606782922683763","0,779410117932507","0,505278783253173","0,343853822230983","0,305982528937208","0,302696243316803","0,15016528728829","0,121285785859069","0,0661549431973412","0,0451643457504483","0,643741969341947","0,528676002765097","0,402122447397192","0,340530609965012","0,149552027210522","0,259864301412146","0,173150677710923","0,0786282651555999","0,056651341371034","0,451092801815854",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SG Normal Force 1 [N],"0,115958695062099","0,0981846528975412","0,0803090696865126","0,0663868151602188","0,0521675800542885","0,0398770941087546","0,0290017633320938","0,0203913040693114","0,0129423574051646","0,118197201101915","0,0994369604777303","0,0821559632751043","0,0668323893656121","0,0524416849663321","0,0406127062945094","0,030011931292332","0,0207530810353683","0,0132766306398371","0,118243679097394","0,100000053426156","0,0843096485622524","0,0675663082652707","0,0539736272738246","0,0410957192031208","0,0302103077253364","0,0210384766446937","0,0134891787883627","0,122418686972005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SG Torque (X) 2 [N*m],"-0,00759180448512334","-0,00646901609923557","-0,00518102604902811","-0,00438286502554851","-0,00341315276013289","-0,00259420651614776","-0,00186733686142542","-0,00133327674561914","-0,000832974210719066","-0,00746331257177201","-0,00627054352942614","-0,00510637188825984","-0,00417699803986359","-0,00324863264076755","-0,00255871269088994","-0,00189395982831125","-0,00130568017793599","-0,000831988923475084","-0,00725037770653275","-0,00615733973227597","-0,00515216983692717","-0,00414629778361182","-0,00335346275555595","-0,00253345536227274","-0,00185968541311064","-0,00127820975984789","-0,000826120058788068","-0,00744881372088616",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SG Torque (Y) 3 [N*m],"0,0226175118726438","0,0191378952457563","0,015701612223057","0,0129406698447567","0,0101828956169334","0,00779133399072464","0,00567567582396562","0,00398215982865666","0,00253465077975726","0,0231697103785066","0,019498628073407","0,0161361006290586","0,0131210380941939","0,0103049691020485","0,00796843896413183","0,00588815081874406","0,00407346849162605","0,00260809987288243","0,023262505053077","0,019668997108755","0,0165864677634168","0,0132940444577279","0,0106033362608212","0,00808459720977606","0,0059447221662866","0,00414669794272297","0,00265687500660197","0,0241058751002334",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SG Torque (Z) 4 [N*m],"0,00454765985813421","0,00390590320038662","0,00304317390950423","0,00265143891086589","0,00203954947357416","0,00153898310918957","0,00109210688589923","0,000795357158136318","0,000486119103263888","0,00423194384685866","0,00354635129588335","0,00282873378377807","0,00233131158539772","0,00179094029512502","0,00144304686111763","0,0010702865472916","0,000734448466426287","0,000464852823767868","0,00391563178777642","0,00334531543761335","0,00276688903642355","0,00224003465553695","0,00184464346275984","0,00137673563119079","0,00100789010231489","0,000677909828915186","0,000443524272375865","0,00394624864764843",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
